广西玉林市酒店电信,#genre#
珠江电影,http://171.38.41.71:8181/tsfile/live/1046_1.m3u8
动作电影,http://171.38.41.71:8181/tsfile/live/1047_1.m3u8
廉江公共,http://171.38.41.71:8181/tsfile/live/1048_1.m3u8
翡翠台,http://171.38.41.71:8181/tsfile/live/1049_1.m3u8
南方1,http://171.38.41.71:8181/tsfile/live/1050_1.m3u8
南方3,http://171.38.41.71:8181/tsfile/live/1051_1.m3u8
南方4,http://171.38.41.71:8181/tsfile/live/1052_1.m3u8
南方5,http://171.38.41.71:8181/tsfile/live/1053_1.m3u8
青海卫视,http://171.38.41.71:8181/tsfile/live/0140_1.m3u8
西藏卫视,http://171.38.41.71:8181/tsfile/live/0111_1.m3u8
江苏卫视,http://171.38.41.71:8181/tsfile/live/0127_1.m3u8
卡酷动画,http://171.38.41.71:8181/tsfile/live/1057_1.m3u8
CCTV2-财经,http://171.38.41.71:8181/tsfile/live/0002_1.m3u8
DTV1,http://171.38.41.71:8181/tsfile/live/1062_1.m3u8
DTV2,http://171.38.41.71:8181/tsfile/live/1063_1.m3u8
DTV3,http://171.38.41.71:8181/tsfile/live/1064_1.m3u8
DTV4,http://171.38.41.71:8181/tsfile/live/1065_1.m3u8
测试8,http://171.38.41.71:8181/tsfile/live/1066_1.m3u8
测试9,http://171.38.41.71:8181/tsfile/live/1067_1.m3u8
CCTV1-综合,http://171.38.41.71:8181/tsfile/live/0001_1.m3u8
预留2,http://171.38.41.71:8181/tsfile/live/1069_1.m3u8
本港台,http://171.38.41.71:8181/tsfile/live/1070_1.m3u8
测试5,http://171.38.41.71:8181/tsfile/live/1073_1.m3u8
测试6,http://171.38.41.71:8181/tsfile/live/1074_1.m3u8
测试7,http://171.38.41.71:8181/tsfile/live/1075_1.m3u8
广东卫视,http://171.38.41.71:8181/tsfile/live/0125_2.m3u8
凤凰资讯 高清,http://171.38.41.71:8181/tsfile/live/1000_1.m3u8
凤凰中文 高清,http://171.38.41.71:8181/tsfile/live/1001_1.m3u8
凤凰香港 高清,http://171.38.41.71:8181/tsfile/live/1002_1.m3u8
湖南卫视,http://171.38.41.71:8181/tsfile/live/0128_1.m3u8
金鹰卡通,http://171.38.41.71:8181/tsfile/live/1003_1.m3u8
星空卫视,http://171.38.41.71:8181/tsfile/live/1004_1.m3u8
中国MTV,http://171.38.41.71:8181/tsfile/live/1006_1.m3u8
风云剧场,http://171.38.41.71:8181/tsfile/live/0113_1.m3u8
云南卫视,http://171.38.41.71:8181/tsfile/live/0119_1.m3u8
CCTV7-军农,http://171.38.41.71:8181/tsfile/live/0007_1.m3u8
CCTV10-科教,http://171.38.41.71:8181/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://171.38.41.71:8181/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://171.38.41.71:8181/tsfile/live/0012_1.m3u8
CCTV15-音乐,http://171.38.41.71:8181/tsfile/live/0015_1.m3u8

广西贵港市酒店联通,#genre#
﻿CCTV-1,http://110.72.79.71:808/hls/54/index.m3u8
CCTV-2,http://110.72.79.71:808/hls/97/index.m3u8
CCTV-3,http://110.72.79.71:808/hls/37/index.m3u8
CCTV-4,http://110.72.79.71:808/hls/113/index.m3u8
CCTV-5,http://110.72.79.71:808/hls/38/index.m3u8
CCTV-6,http://110.72.79.71:808/hls/39/index.m3u8
CCTV-7,http://110.72.79.71:808/hls/98/index.m3u8
CCTV-8,http://110.72.79.71:808/hls/40/index.m3u8
CCTV-9,http://110.72.79.71:808/hls/119/index.m3u8
CCTV-10,http://110.72.79.71:808/hls/99/index.m3u8
CCTV-11,http://110.72.79.71:808/hls/100/index.m3u8
CCTV-12,http://110.72.79.71:808/hls/101/index.m3u8
CCTV-13,http://110.72.79.71:808/hls/106/index.m3u8
CCTV-14,http://110.72.79.71:808/hls/105/index.m3u8
CCTV-15,http://110.72.79.71:808/hls/102/index.m3u8
测试-TVB剧集/体彩,http://110.72.79.71:808/hls/57/index.m3u8
测试-TVBJ,http://110.72.79.71:808/hls/58/index.m3u8
广西卫视,http://110.72.79.71:808/hls/9/index.m3u8
